state,action_0,action_1,action_2,action_3,action_4,action_5
0,0.0,0.0,0.0,0.0,0.0,0.0
1,1.5341030996432767,0.48168540456537834,-0.3318532165255439,-2.8792822665340903,7.999999999999397,-4.028153552887511
2,-453.935020100755,-453.9617471321337,-453.91432575707944,-453.9456764960114,-453.96606669660383,-454.5055405971
3,3.7268714682436923,0.5305735056098952,-4.634370689454636,4.016325327445294,9.999999999998753,-2.33735621026842
4,5.2479422163560105,3.896252833565412,1.9487331941705541,3.9698303229659233,12.999999999999845,-0.9848545533667932
5,-12.705179781747992,-12.972178244214874,-12.978789761382874,-13.063449138341806,-14.139582202769326,-13.641242914845813
6,0.0,0.0,0.0,0.0,0.0,0.0
7,-454.1504016626048,-454.10275940805866,-454.0713092848596,-454.0549359425805,-455.52778467467095,-455.2627770659585
8,-8.24265346342127,-8.25706588711089,-8.199909864912783,-8.181681594747607,-9.349619967692778,-12.429994278766733
9,-8.44863501936515,-8.575713603706554,-7.492593190526894,-8.55607128529277,-9.624243328894106,-10.250722419957858
10,-565.1966734309823,-565.1776576463055,-565.2721952171727,-565.1214413850817,-566.7340680835689,-565.3744994896261
11,-637.6724995159083,-637.6309605534782,-637.7211342420121,-637.6625610719875,-639.3053715184387,-638.6337690144967
12,0.0,0.0,0.0,0.0,0.0,0.0
13,-581.8351212970501,-581.8779590860091,-581.8950502413745,-581.8258794822482,-582.0070935843501,-582.7836417990743
14,-594.7702615798714,-594.697852147902,-594.7447890861941,-594.7298622705864,-595.401712067208,-595.4756100993011
15,-9.28223646276627,-10.236800416188744,-10.262649006172492,-10.282342540681285,-10.613362461511931,-10.7234099208572
16,-7.594516479571609,-7.685348881283962,-4.033100153864592,-7.749730688632128,-9.865271204736178,-8.601886838232708
17,-454.1595568602635,-454.0926001750148,-453.9953048162756,-454.06775715606136,-455.55953322278987,-455.33476522618355
18,0.0,0.0,0.0,0.0,0.0,0.0
19,-5.651764262202667,-5.782633591486586,-2.6770188548948353,-5.77907436769573,-6.772725386236438,-7.885676442561847
20,-2.3592498470971845,-5.294047190131002,-5.303753259808006,-5.280861490000004,-6.463043951165208,-6.0
21,-3.618541546364172,-4.594909044344465,-4.53248075603315,-4.599163317793902,-4.763063932368785,-5.754774048363595
22,-453.9909497713402,-453.9725796926067,-454.04348491616173,-453.9245677226477,-454.775465025678,-454.61626526245556
23,-2.657490639210555,-2.6829447817443772,-0.5193953727368137,-2.700000000000002,-2.9290000000000003,-2.999546107149
24,0.0,0.0,0.0,0.0,0.0,0.0
25,12.885737733719264,17.476460937142036,17.039384147659224,17.11826529342044,9.43682821546911,19.99999999999999
26,0.03838900727911909,1.4896802991919404,8.999999999999869,0.2705840758847108,-4.917185016606559,2.5152060405779553
27,-453.95318067565574,-453.91338913377376,-453.9852796136799,-453.9610711483789,-454.6521474633411,-453.92783689095694
28,10.99999999999983,2.2550805313510107,-0.34103058773239103,0.08836212076390437,-3.5068289680684788,1.0632682498917336
29,2.4978341558045076,2.9772293675767574,13.999999999999943,4.703985430894103,0.7288468098778828,5.655105301733383
30,0.0,0.0,0.0,0.0,0.0,0.0
31,-7.206935349362485,-7.178786302414398,-7.179476363246177,6.598142571717059,-8.460111242123661,-8.260987965687766
32,-453.8905064522722,-453.94305349673255,-453.8815650262229,-453.94641159948486,-457.2023989381461,-455.00976682861744
33,-5.944265053041701,-5.989459189196222,-5.997830687443141,6.914456415709363,-7.524716868187692,-7.704764966472402
34,0.910388161307704,2.220253765739916,3.935293994701815,11.999999999997799,-0.5765498088634875,-0.9053955934471011
35,-11.836343846491127,-12.667177263293457,-12.750740843852757,-12.712001915939817,-13.591815203411024,-14.365970199804572
36,0.0,0.0,0.0,0.0,0.0,0.0
37,-454.06384208052145,-454.0107486702352,-453.9678895502933,-454.0439757291742,-455.7853483779511,-454.57316556351543
38,-5.240062749034035,-8.080858309208814,-7.994465382090787,-8.054129280110228,-9.055382507934087,-8.797236017955871
39,-3.320124041274739,-8.174980275275301,-8.172377115667919,-8.162474032571122,-9.802873763238257,-10.12237467691374
40,-565.2700459151445,-565.1784682125217,-565.2485791319111,-565.1823293078785,-565.9061459115918,-565.2411632849693
41,-637.6938016279908,-637.6791379869837,-637.6201169988851,-637.6811799083137,-638.144428097127,-637.998781794862
42,0.0,0.0,0.0,0.0,0.0,0.0
43,-581.8862714535582,-581.8386011889052,-581.7916117710306,-581.8578944729563,-582.4308112285787,-582.4025107973665
44,-594.7202424525999,-594.6469940877975,-594.7045125266367,-594.7699778931197,-594.8176554903358,-594.6486309221702
45,-6.887567262965158,-10.07088874184662,-10.067832727409522,-10.109654863792086,-10.717402800696753,-10.85736190425439
46,0.9711795831133502,-7.391307907674742,-7.3690184166655035,-7.414093493389711,-7.548121204970187,-8.55189193358743
47,-454.09086325746637,-453.895073240834,-453.97184445102926,-453.9767851511514,-455.5974293807816,-454.89943638567877
48,0.0,0.0,0.0,0.0,0.0,0.0
49,2.5929401844878672,-5.498415358591924,-5.4751394128612905,-5.505386160889564,-5.913634635686236,-8.185616044061492
50,1.9076416365193438,-5.097335027990561,-5.173350279905567,-5.106351453636144,-5.755786745116311,-5.92
51,4.320364465319901,-4.390000000000004,-4.400000000000004,-4.436433820141854,-5.0,-5.846475547833132
52,-454.0495694188578,-454.01382514119973,-453.98899066338004,-454.0131046905453,-454.59706281417914,-455.04463849369347
53,4.862675822524442,-2.5000000000000018,-2.5000000000000018,-2.410068228588811,-2.96,-3.925389814091094
54,0.0,0.0,0.0,0.0,0.0,0.0
55,15.74628405883554,17.13865016915311,17.62931647703886,18.999999999999975,8.395116826465603,8.214554713368724
56,9.999999999999924,3.542727562185219,0.9654236386182633,-1.463253316674562,-3.65885274806444,-3.285082435204378
57,-453.98238117302645,-453.9762888947971,-453.89675098831424,-453.9609960186293,-454.3537321810883,-455.15002803735626
58,8.588445885012776,-3.7954538531700406,-3.791756121250773,-3.860685456198989,-3.9290000000000003,-4.8347389124154025
59,14.999999999999943,8.086122753517529,6.123717237984923,7.886422552144653,1.643655593600629,1.5906991607799887
60,0.0,0.0,0.0,0.0,0.0,0.0
61,-2.89166353373875,-3.0900000000000025,-3.65871318513304,-3.099000000000002,-3.9599,-4.0
62,-86.1522073327938,-4.881000000000004,-63.82958943623705,-4.798100000000004,-4.928100000000001,-4.960000000000001
63,-2.9423251357655498,-3.681000000000003,-4.344042642424428,-3.6000000000000028,-4.7997000000000005,-5.695700000000001
64,-0.4423589714825715,-1.0000000000000004,-1.7735375287693127,-1.0000000000000004,-1.9836262613666862,-1.9300000000000002
65,-2.937113283262564,-2.7900000000000023,-2.2479053007863485,-2.800000000000002,-3.6263,-3.9438673151736072
66,0.0,0.0,0.0,0.0,0.0,0.0
